"","id","Civilite","Age","EpouseFrat","ParentsEnf","Classe","Survie","Prix","PortEmbarq","Sexe","Sexe_modif"
"877","id61","Mr",36,1,0,"1",0,"78.85","S","Homme","Homme"
"878","id610","Mr",26,0,0,"3",0,"8.05","S","Homme","Homme"
"879","id611","Mrs",40,1,0,"3",0,"9.475","S","Femme","Femme"
"880","id612","Master",0.8333,0,1,"3",1,"9.35","S","Homme","Enfant"
"881","id613","Mrs",18,0,1,"3",1,"9.35","S","Femme","Femme"
"882","id614","Mr",26,0,0,"3",1,"18.7875","C","Homme","Homme"
"883","id615","Mr",26,0,0,"3",0,"7.8875","S","Homme","Homme"
"884","id616","Mr",20,0,0,"3",0,"7.925","S","Homme","Homme"
"885","id617","Mr",24,0,0,"3",0,"7.05","S","Homme","Homme"
"886","id618","Mr",25,0,0,"3",0,"7.05","S","Homme","Homme"
"887","id619","Mr",35,0,0,"3",0,"8.05","S","Homme","Homme"
"888","id62","Mrs",76,1,0,"1",1,"78.85","S","Femme","Femme"
"889","id620","Mr",18,0,0,"3",0,"8.3","S","Homme","Homme"
"890","id621","Mr",32,0,0,"3",0,"22.525","S","Homme","Homme"
"891","id622","Miss",19,1,0,"3",1,"7.8542","S","Femme","Femme"
"892","id623","Master",4,4,2,"3",0,"31.275","S","Homme","Enfant"
"893","id624","Miss",6,4,2,"3",0,"31.275","S","Femme","Enfant"
"894","id625","Miss",2,4,2,"3",0,"31.275","S","Femme","Enfant"
"895","id626","Miss",17,4,2,"3",1,"7.925","S","Femme","Femme"
"896","id627","Miss",38,4,2,"3",0,"7.775","S","Femme","Femme"
"897","id628","Miss",9,4,2,"3",0,"31.275","S","Femme","Enfant"
"898","id629","Miss",11,4,2,"3",0,"31.275","S","Femme","Enfant"
"899","id63","Mr",46,1,0,"1",0,"61.175","S","Homme","Homme"
"900","id630","Mr",39,1,5,"3",0,"31.275","S","Homme","Homme"
"901","id631","Mr",27,0,0,"3",1,"7.7958","S","Homme","Homme"
"902","id632","Mr",26,0,0,"3",0,"7.775","S","Homme","Homme"
"903","id633","Mrs",39,1,5,"3",0,"31.275","S","Femme","Femme"
"904","id634","Mr",20,0,0,"3",0,"7.8542","S","Homme","Homme"
"905","id635","Mr",26,0,0,"3",0,"7.8958","S","Homme","Homme"
"906","id636","Mr",25,1,0,"3",0,"17.8","S","Homme","Homme"
"907","id637","Mrs",18,1,0,"3",0,"17.8","S","Femme","Femme"
"908","id638","Mr",24,0,0,"3",0,"7.775","S","Homme","Homme"
"909","id639","Mr",35,0,0,"3",0,"7.05","S","Homme","Homme"
"910","id64","Mrs",47,1,0,"1",1,"61.175","S","Femme","Femme"
"911","id640","Master",5,4,2,"3",0,"31.3875","S","Homme","Enfant"
"912","id641","Master",9,4,2,"3",0,"31.3875","S","Homme","Enfant"
"913","id642","Master",3,4,2,"3",1,"31.3875","S","Homme","Enfant"
"914","id643","Master",13,4,2,"3",0,"31.3875","S","Homme","Homme"
"915","id644","Miss",5,4,2,"3",1,"31.3875","S","Femme","Enfant"
"916","id645","Mr",40,1,5,"3",0,"31.3875","S","Homme","Homme"
"917","id646","Mr",23,0,0,"3",1,"7.7958","S","Homme","Homme"
"918","id647","Mrs",38,1,5,"3",1,"31.3875","S","Femme","Femme"
"919","id648","Mrs",45,0,0,"3",1,"7.225","C","Femme","Femme"
"920","id649","Mr",21,0,0,"3",0,"7.225","C","Homme","Homme"
"921","id65","Mr",27,1,0,"1",1,"53.1","S","Homme","Homme"
"922","id650","Mr",23,0,0,"3",0,"7.05","S","Homme","Homme"
"923","id651","Miss",17,0,0,"3",0,"14.4583","C","Femme","Femme"
"924","id652","Mr",30,0,0,"3",0,"7.225","C","Homme","Homme"
"925","id653","Mr",23,0,0,"3",0,"7.8542","S","Homme","Homme"
"926","id654","Miss",13,0,0,"3",1,"7.2292","C","Femme","Femme"
"927","id655","Mr",20,0,0,"3",0,"7.225","C","Homme","Homme"
"928","id656","Mr",32,1,0,"3",0,"15.85","S","Homme","Homme"
"929","id657","Mrs",33,3,0,"3",1,"15.85","S","Femme","Femme"
"930","id658","Miss",0.75,2,1,"3",1,"19.2583","C","Femme","Enfant"
"931","id659","Miss",0.75,2,1,"3",1,"19.2583","C","Femme","Enfant"
"932","id66","Mrs",33,1,0,"1",1,"53.1","S","Femme","Femme"
"933","id660","Miss",5,2,1,"3",1,"19.2583","C","Femme","Enfant"
"934","id661","Mrs",24,0,3,"3",1,"19.2583","C","Femme","Femme"
"935","id662","Miss",18,0,0,"3",1,"8.05","S","Femme","Femme"
"936","id663","Mr",40,0,0,"3",0,"7.225","C","Homme","Homme"
"937","id664","Mr",26,0,0,"3",0,"7.8958","S","Homme","Homme"
"938","id665","Mr",20,0,0,"3",1,"7.2292","C","Homme","Homme"
"939","id666","Miss",18,0,1,"3",0,"14.4542","C","Femme","Femme"
"940","id667","Mrs",45,0,1,"3",0,"14.4542","C","Femme","Femme"
"941","id668","Miss",27,0,0,"3",0,"7.8792","Q","Femme","Femme"
"942","id669","Mr",22,0,0,"3",0,"8.05","S","Homme","Homme"
"943","id67","Miss",36,0,0,"1",1,"262.375","C","Femme","Femme"
"944","id670","Mr",19,0,0,"3",0,"8.05","S","Homme","Homme"
"945","id671","Mr",26,0,0,"3",0,"7.775","S","Homme","Homme"
"946","id672","Mr",22,0,0,"3",0,"9.35","S","Homme","Homme"
"948","id674","Mr",20,0,0,"3",0,"4.0125","C","Homme","Homme"
"949","id675","Mr",32,0,0,"3",1,"56.4958","S","Homme","Homme"
"950","id676","Mr",21,0,0,"3",0,"7.775","S","Homme","Homme"
"951","id677","Mr",18,0,0,"3",0,"7.75","S","Homme","Homme"
"952","id678","Mr",26,0,0,"3",0,"7.8958","S","Homme","Homme"
"953","id679","Master",6,1,1,"3",0,"15.2458","C","Homme","Enfant"
"954","id68","Miss",30,0,0,"1",1,"86.5","S","Femme","Femme"
"955","id680","Miss",9,1,1,"3",0,"15.2458","C","Femme","Enfant"
"959","id684","Mr",40,1,1,"3",0,"15.5","Q","Homme","Homme"
"960","id685","Mrs",32,1,1,"3",0,"15.5","Q","Femme","Femme"
"961","id686","Mr",21,0,0,"3",0,"16.1","S","Homme","Homme"
"962","id687","Miss",22,0,0,"3",1,"7.725","Q","Femme","Femme"
"963","id688","Miss",20,0,0,"3",0,"7.8542","S","Femme","Femme"
"964","id689","Mr",29,1,0,"3",0,"7.0458","S","Homme","Homme"
"965","id69","Mr",45,0,0,"1",1,"29.7","C","Homme","Homme"
"966","id690","Mr",22,1,0,"3",0,"7.25","S","Homme","Homme"
"967","id691","Mr",22,0,0,"3",0,"7.7958","S","Homme","Homme"
"968","id692","Mr",35,0,0,"3",0,"8.05","S","Homme","Homme"
"969","id693","Miss",18.5,0,0,"3",0,"7.2833","Q","Femme","Femme"
"970","id694","Mr",21,0,0,"3",1,"7.8208","Q","Homme","Homme"
"971","id695","Mr",19,0,0,"3",0,"6.75","Q","Homme","Homme"
"972","id696","Miss",18,0,0,"3",0,"7.8792","Q","Femme","Femme"
"973","id697","Miss",21,0,0,"3",0,"8.6625","S","Femme","Femme"
"974","id698","Miss",30,0,0,"3",0,"8.6625","S","Femme","Femme"
"975","id699","Mr",18,0,0,"3",0,"8.6625","S","Homme","Homme"
"976","id7","Miss",63,1,0,"1",1,"77.9583","S","Femme","Femme"
"978","id700","Mr",38,0,0,"3",0,"8.6625","S","Homme","Homme"
"979","id701","Mr",17,0,0,"3",0,"8.6625","S","Homme","Homme"
"980","id702","Mr",17,0,0,"3",0,"8.6625","S","Homme","Homme"
"981","id703","Miss",21,0,0,"3",0,"7.75","Q","Femme","Femme"
"982","id704","Mr",21,0,0,"3",0,"7.75","Q","Homme","Homme"
"983","id705","Mr",21,0,0,"3",0,"8.05","S","Homme","Homme"
"986","id708","Mr",28,0,0,"3",0,"7.7958","S","Homme","Homme"
"987","id709","Mr",24,0,0,"3",0,"7.8542","S","Homme","Homme"
"989","id710","Miss",16,0,0,"3",1,"7.75","Q","Femme","Femme"
"990","id711","Miss",37,0,0,"3",0,"7.75","Q","Femme","Femme"
"991","id712","Mr",28,0,0,"3",0,"7.25","S","Homme","Homme"
"992","id713","Mr",24,0,0,"3",0,"8.05","S","Homme","Homme"
"993","id714","Mr",21,0,0,"3",0,"7.7333","Q","Homme","Homme"
"994","id715","Mr",32,0,0,"3",1,"56.4958","S","Homme","Homme"
"995","id716","Mr",29,0,0,"3",0,"8.05","S","Homme","Homme"
"996","id717","Mr",26,1,0,"3",0,"14.4542","C","Homme","Homme"
"997","id718","Mr",18,1,0,"3",0,"14.4542","C","Homme","Homme"
"998","id719","Mr",20,0,0,"3",0,"7.05","S","Homme","Homme"
"999","id72","Mr",27,1,0,"1",0,"136.7792","C","Homme","Homme"
"1000","id720","Mr",18,0,0,"3",1,"8.05","S","Homme","Homme"
"1001","id721","ColM",24,0,0,"3",0,"7.25","Q","Homme","Homme"
"1002","id722","ColM",36,0,0,"3",0,"7.4958","S","Homme","Homme"
"1003","id723","ColM",24,0,0,"3",0,"7.4958","S","Homme","Homme"
"1004","id724","Mr",31,0,0,"3",0,"7.7333","Q","Homme","Homme"
"1005","id725","Mr",31,0,0,"3",0,"7.75","Q","Homme","Homme"
"1006","id726","Miss",22,0,0,"3",1,"7.75","Q","Femme","Femme"
"1007","id727","Miss",30,0,0,"3",0,"7.6292","Q","Femme","Femme"
"1008","id728","Mr",70.5,0,0,"3",0,"7.75","Q","Homme","Homme"
"1009","id729","Mr",43,0,0,"3",0,"8.05","S","Homme","Homme"
"1010","id73","Mrs",26,1,0,"1",1,"136.7792","C","Femme","Femme"
"1011","id730","Mr",35,0,0,"3",0,"7.8958","S","Homme","Homme"
"1012","id731","Mr",27,0,0,"3",0,"7.8958","S","Homme","Homme"
"1013","id732","Mr",19,0,0,"3",0,"7.8958","S","Homme","Homme"
"1014","id733","Mr",30,0,0,"3",0,"8.05","S","Homme","Homme"
"1015","id734","Master",9,1,1,"3",1,"15.9","S","Homme","Enfant"
"1016","id735","Master",3,1,1,"3",1,"15.9","S","Homme","Enfant"
"1017","id736","Mrs",36,0,2,"3",1,"15.9","S","Femme","Femme"
"1018","id737","Mr",59,0,0,"3",0,"7.25","S","Homme","Homme"
"1019","id738","Mr",19,0,0,"3",0,"8.1583","S","Homme","Homme"
"1020","id739","Miss",17,0,1,"3",1,"16.1","S","Femme","Femme"
"1021","id74","Miss",22,0,0,"1",1,"151.55","S","Femme","Femme"
"1022","id740","Mr",44,0,1,"3",0,"16.1","S","Homme","Homme"
"1023","id741","Mr",17,0,0,"3",0,"8.6625","S","Homme","Homme"
"1024","id742","Mr",22.5,0,0,"3",0,"7.225","C","Homme","Homme"
"1025","id743","Mr",45,0,0,"3",1,"8.05","S","Homme","Homme"
"1026","id744","Miss",22,0,0,"3",0,"10.5167","S","Femme","Femme"
"1027","id745","Mr",19,0,0,"3",0,"10.1708","S","Homme","Homme"
"1028","id746","Miss",30,0,0,"3",1,"6.95","Q","Femme","Femme"
"1029","id747","Mr",29,0,0,"3",1,"7.75","Q","Homme","Homme"
"1030","id748","Master",0.3333,0,2,"3",0,"14.4","S","Homme","Enfant"
"1031","id749","Mr",34,1,1,"3",0,"14.4","S","Homme","Homme"
"1033","id750","Mrs",28,1,1,"3",0,"14.4","S","Femme","Femme"
"1034","id751","Mr",27,0,0,"3",0,"7.8958","S","Homme","Homme"
"1035","id752","Mr",25,0,0,"3",0,"7.8958","S","Homme","Homme"
"1036","id753","Mr",24,2,0,"3",0,"24.15","S","Homme","Homme"
"1037","id754","Mr",22,0,0,"3",0,"8.05","S","Homme","Homme"
"1038","id755","Mr",21,2,0,"3",0,"24.15","S","Homme","Homme"
"1039","id756","Mr",17,2,0,"3",0,"8.05","S","Homme","Homme"
"1042","id759","Mr",36.5,1,0,"3",1,"17.4","S","Homme","Homme"
"1043","id76","ColM",47,0,0,"1",0,"25.5875","S","Homme","Homme"
"1044","id760","Mrs",36,1,0,"3",1,"17.4","S","Femme","Femme"
"1045","id761","Mr",30,0,0,"3",1,"9.5","S","Homme","Homme"
"1046","id762","Mr",16,0,0,"3",0,"9.5","S","Homme","Homme"
"1047","id763","Master",1,1,2,"3",1,"20.575","S","Homme","Enfant"
"1048","id764","Miss",0.1667,1,2,"3",1,"20.575","S","Femme","Enfant"
"1049","id765","Mr",26,1,2,"3",0,"20.575","S","Homme","Homme"
"1050","id766","Mrs",33,1,2,"3",1,"20.575","S","Femme","Femme"
"1051","id767","Mr",25,0,0,"3",0,"7.8958","S","Homme","Homme"
"1054","id77","Miss",39,1,1,"1",1,"83.1583","C","Femme","Femme"
"1055","id770","Mr",22,0,0,"3",0,"7.25","S","Homme","Homme"
"1056","id771","Mr",36,0,0,"3",0,"7.25","S","Homme","Homme"
"1057","id772","Miss",19,0,0,"3",1,"7.8792","Q","Femme","Femme"
"1058","id773","Mr",17,0,0,"3",0,"7.8958","S","Homme","Homme"
"1059","id774","Mr",42,0,0,"3",0,"8.6625","S","Homme","Homme"
"1060","id775","Mr",43,0,0,"3",0,"7.8958","S","Homme","Homme"
"1062","id777","Mr",32,0,0,"3",0,"7.75","Q","Homme","Homme"
"1063","id778","Mr",19,0,0,"3",1,"8.05","S","Homme","Homme"
"1064","id779","Miss",30,0,0,"3",1,"12.475","S","Femme","Femme"
"1065","id78","Mr",37,1,1,"1",0,"83.1583","C","Homme","Homme"
"1066","id780","Miss",24,0,0,"3",0,"7.75","Q","Femme","Femme"
"1067","id781","DrF",23,0,0,"3",1,"8.05","S","Femme","Femme"
"1068","id782","DrM",33,0,0,"3",0,"7.8958","C","Homme","Homme"
"1069","id783","Mr",65,0,0,"3",0,"7.75","Q","Homme","Homme"
"1070","id784","Mr",24,0,0,"3",1,"7.55","S","Homme","Homme"
"1071","id785","Mr",23,1,0,"3",0,"13.9","S","Homme","Homme"
"1072","id786","Mrs",22,1,0,"3",1,"13.9","S","Femme","Femme"
"1073","id787","Mr",18,0,0,"3",0,"7.775","S","Homme","Homme"
"1074","id788","Mr",16,0,0,"3",0,"7.775","S","Homme","Homme"
"1075","id789","Mr",45,0,0,"3",0,"6.975","S","Homme","Homme"
"1076","id79","Mrs",64,0,2,"1",1,"83.1583","C","Femme","Femme"
"1078","id791","Mr",39,0,2,"3",0,"7.2292","C","Homme","Homme"
"1079","id792","Mr",17,1,1,"3",0,"7.2292","C","Homme","Homme"
"1080","id793","Mr",15,1,1,"3",0,"7.2292","C","Homme","Homme"
"1081","id794","Mr",47,0,0,"3",0,"7.25","S","Homme","Homme"
"1082","id795","Miss",5,0,0,"3",1,"12.475","S","Femme","Enfant"
"1084","id797","Mr",40.5,0,0,"3",0,"15.1","S","Homme","Homme"
"1085","id798","Mr",40.5,0,0,"3",0,"7.75","Q","Homme","Homme"
"1087","id8","Mr",39,0,0,"1",0,"0","S","Homme","Homme"
"1088","id80","Mrs",55,2,0,"1",1,"25.7","S","Femme","Femme"
"1089","id800","Mr",18,0,0,"3",0,"7.7958","S","Homme","Homme"
"1093","id804","Mr",26,0,0,"3",0,"7.8792","Q","Homme","Homme"
"1096","id807","Miss",21,2,2,"3",0,"34.375","S","Femme","Femme"
"1097","id808","Miss",9,2,2,"3",0,"34.375","S","Femme","Enfant"
"1100","id810","Mr",18,2,2,"3",0,"34.375","S","Homme","Homme"
"1101","id811","Mr",16,1,3,"3",0,"34.375","S","Homme","Homme"
"1102","id812","Mrs",48,1,3,"3",0,"34.375","S","Femme","Femme"
"1105","id815","Mr",25,0,0,"3",0,"7.7417","Q","Homme","Homme"
"1108","id818","Mr",22,0,0,"3",0,"8.05","S","Homme","Homme"
"1109","id819","Miss",16,0,0,"3",1,"7.7333","Q","Femme","Femme"
"1110","id82","",70,1,1,"1",0,"71","S","Inconnu","Femme"
"1112","id821","Master",9,0,2,"3",1,"20.525","S","Homme","Enfant"
"1113","id822","Mr",33,1,1,"3",0,"20.525","S","Homme","Homme"
"1114","id823","Mr",41,0,0,"3",0,"7.85","S","Homme","Homme"
"1115","id824","Mrs",31,1,1,"3",1,"20.525","S","Femme","Femme"
"1116","id825","Mr",38,0,0,"3",0,"7.05","S","Homme","Homme"
"1117","id826","Master",9,5,2,"3",0,"46.9","S","Homme","Enfant"
"1118","id827","Master",1,5,2,"3",0,"46.9","S","Homme","Enfant"
"1119","id828","Master",11,5,2,"3",0,"46.9","S","Homme","Enfant"
"1120","id829","Miss",10,5,2,"3",0,"46.9","S","Femme","Enfant"
"1121","id83","Miss",36,0,2,"1",1,"71","S","Femme","Femme"
"1122","id830","Miss",16,5,2,"3",0,"46.9","S","Femme","Femme"
"1123","id831","Mr",14,5,2,"3",0,"46.9","S","Homme","Homme"
"1124","id832","Mr",40,1,6,"3",0,"46.9","S","Homme","Homme"
"1125","id833","Mrs",43,1,6,"3",0,"46.9","S","Femme","Femme"
"1126","id834","Mr",51,0,0,"3",0,"8.05","S","Homme","Homme"
"1127","id835","Mr",32,0,0,"3",0,"8.3625","S","Homme","Homme"
"1129","id837","Mr",20,0,0,"3",0,"9.8458","S","Homme","Homme"
"1130","id838","Mr",37,2,0,"3",0,"7.925","S","Homme","Homme"
"1131","id839","Mr",28,2,0,"3",0,"7.925","S","Homme","Homme"
"1132","id84","Mrs",64,1,1,"1",1,"26.55","S","Femme","Femme"
"1133","id840","Mr",19,0,0,"3",0,"7.775","S","Homme","Homme"
"1134","id841","Miss",24,0,0,"3",0,"8.85","S","Femme","Femme"
"1135","id842","Miss",17,0,0,"3",0,"7.7333","Q","Femme","Femme"
"1138","id845","Mr",28,1,0,"3",0,"15.85","S","Homme","Homme"
"1139","id846","Mrs",24,1,0,"3",1,"15.85","S","Femme","Femme"
"1140","id847","Mr",20,0,0,"3",0,"9.5","S","Homme","Homme"
"1141","id848","Mr",23.5,0,0,"3",0,"7.2292","C","Homme","Homme"
"1142","id849","Mr",41,2,0,"3",0,"14.1083","S","Homme","Homme"
"1143","id85","Mr",39,1,0,"1",0,"71.2833","C","Homme","Homme"
"1144","id850","Mr",26,1,0,"3",0,"7.8542","S","Homme","Homme"
"1145","id851","Mr",21,0,0,"3",0,"7.8542","S","Homme","Homme"
"1146","id852","Mrs",45,1,0,"3",1,"14.1083","S","Femme","Femme"
"1148","id854","Mr",25,0,0,"3",0,"7.25","S","Homme","Homme"
"1150","id856","Mr",11,0,0,"3",0,"18.7875","C","Homme","Enfant"
"1152","id858","Mr",27,0,0,"3",1,"6.975","S","Homme","Homme"
"1154","id86","Mrs",38,1,0,"1",1,"71.2833","C","Femme","Femme"
"1155","id860","Miss",18,0,0,"3",0,"6.75","Q","Femme","Femme"
"1156","id861","Miss",26,0,0,"3",1,"7.925","S","Femme","Femme"
"1157","id862","Miss",23,0,0,"3",0,"7.925","S","Femme","Femme"
"1158","id863","Miss",22,0,0,"3",1,"8.9625","S","Femme","Femme"
"1159","id864","Mr",28,0,0,"3",0,"7.8958","S","Homme","Homme"
"1160","id865","Miss",28,0,0,"3",0,"7.775","S","Femme","Femme"
"1162","id867","Miss",2,0,1,"3",1,"12.2875","S","Femme","Enfant"
"1163","id868","Mrs",22,1,1,"3",1,"12.2875","S","Femme","Femme"
"1164","id869","Mr",43,0,0,"3",0,"6.45","S","Homme","Homme"
"1165","id87","Mr",51,0,0,"1",1,"26.55","S","Homme","Homme"
"1166","id870","Mr",28,0,0,"3",0,"22.525","S","Homme","Homme"
"1167","id871","Miss",27,0,0,"3",1,"7.925","S","Femme","Femme"
"1170","id874","Mr",42,0,0,"3",0,"7.65","S","Homme","Homme"
"1172","id876","Mr",30,0,0,"3",0,"7.2292","C","Homme","Homme"
"1174","id878","Miss",27,1,0,"3",0,"7.925","S","Femme","Femme"
"1175","id879","Miss",25,1,0,"3",0,"7.925","S","Femme","Femme"
"1176","id88","Mr",27,0,0,"1",1,"30.5","S","Homme","Homme"
"1178","id881","Mr",29,0,0,"3",1,"7.8958","C","Homme","Homme"
"1179","id882","Mr",21,0,0,"3",1,"7.7958","S","Homme","Homme"
"1181","id884","Mr",20,0,0,"3",0,"7.8542","S","Homme","Homme"
"1182","id885","Mr",48,0,0,"3",0,"7.8542","S","Homme","Homme"
"1183","id886","Mr",17,1,0,"3",0,"7.0542","S","Homme","Homme"
"1186","id889","Mr",34,0,0,"3",0,"6.4958","S","Homme","Homme"
"1187","id89","Miss",33,0,0,"1",1,"151.55","S","Femme","Femme"
"1188","id890","Mr",26,0,0,"3",1,"7.775","S","Homme","Homme"
"1189","id891","Mr",22,0,0,"3",0,"7.7958","S","Homme","Homme"
"1190","id892","Mr",33,0,0,"3",0,"8.6542","S","Homme","Homme"
"1191","id893","Mr",31,0,0,"3",0,"7.775","S","Homme","Homme"
"1192","id894","Mr",29,0,0,"3",0,"7.8542","S","Homme","Homme"
"1193","id895","Master",4,1,1,"3",1,"11.1333","S","Homme","Enfant"
"1194","id896","Miss",1,1,1,"3",1,"11.1333","S","Femme","Enfant"
"1195","id897","Mr",49,0,0,"3",0,"0","S","Homme","Homme"
"1196","id898","Mr",33,0,0,"3",0,"7.775","S","Homme","Homme"
"1197","id899","Mr",19,0,0,"3",0,"0","S","Homme","Homme"
"1198","id9","Mrs",53,2,0,"1",1,"51.4792","S","Femme","Femme"
"1199","id90","Mr",31,1,0,"1",0,"52","S","Homme","Homme"
"1200","id900","Mrs",27,0,2,"3",1,"11.1333","S","Femme","Femme"
"1205","id905","Mr",23,0,0,"3",0,"7.8958","S","Homme","Homme"
"1206","id906","Mr",32,0,0,"3",1,"7.8542","S","Homme","Homme"
"1207","id907","Mr",27,0,0,"3",0,"7.8542","S","Homme","Homme"
"1208","id908","Miss",20,1,0,"3",0,"9.825","S","Femme","Femme"
"1209","id909","Miss",21,1,0,"3",0,"9.825","S","Femme","Femme"
"1210","id91","Mrs",27,1,2,"1",1,"52","S","Femme","Femme"
"1211","id910","Mr",32,0,0,"3",1,"7.925","S","Homme","Homme"
"1212","id911","Mr",17,0,0,"3",0,"7.125","S","Homme","Homme"
"1213","id912","Mr",21,0,0,"3",0,"8.4333","S","Homme","Homme"
"1214","id913","Mr",30,0,0,"3",0,"7.8958","S","Homme","Homme"
"1215","id914","Mr",21,0,0,"3",1,"7.7958","S","Homme","Homme"
"1216","id915","Mr",33,0,0,"3",0,"7.8542","S","Homme","Homme"
"1217","id916","Mr",22,0,0,"3",0,"7.5208","S","Homme","Homme"
"1218","id917","Miss",4,0,1,"3",1,"13.4167","C","Femme","Enfant"
"1219","id918","Mr",39,0,1,"3",1,"13.4167","C","Homme","Homme"
"1221","id92","Mr",31,1,0,"1",1,"57","S","Homme","Homme"
"1222","id920","Mr",18.5,0,0,"3",0,"7.2292","C","Homme","Homme"
"1227","id925","Mr",34.5,0,0,"3",0,"7.8292","Q","Homme","Homme"
"1228","id926","Mr",44,0,0,"3",0,"8.05","S","Homme","Homme"
"1232","id93","Mrs",17,1,0,"1",1,"57","S","Femme","Femme"
"1236","id933","Miss",22,2,0,"3",0,"8.6625","S","Femme","Femme"
"1237","id934","Mr",26,2,0,"3",0,"8.6625","S","Homme","Homme"
"1238","id935","Miss",4,0,2,"3",1,"22.025","S","Femme","Enfant"
"1239","id936","Mr",29,3,1,"3",1,"22.025","S","Homme","Homme"
"1240","id937","Mrs",26,1,1,"3",1,"22.025","S","Femme","Femme"
"1241","id938","Miss",1,1,1,"3",0,"12.1833","S","Femme","Enfant"
"1242","id939","Mr",18,1,1,"3",0,"7.8542","S","Homme","Homme"
"1243","id94","DrM",53,1,1,"1",1,"81.8583","S","Homme","Homme"
"1244","id940","Mrs",36,0,2,"3",0,"12.1833","S","Femme","Femme"
"1246","id942","Mr",25,0,0,"3",1,"7.2292","C","Homme","Homme"
"1248","id944","Miss",37,0,0,"3",0,"9.5875","S","Femme","Femme"
"1252","id948","Miss",22,0,0,"3",1,"7.25","S","Femme","Femme"
"1254","id95","Master",4,0,2,"1",1,"81.8583","S","Homme","Enfant"
"1255","id950","Mr",26,0,0,"3",1,"56.4958","S","Homme","Homme"
"1256","id951","Mr",29,0,0,"3",0,"9.4833","S","Homme","Homme"
"1257","id952","Mr",29,0,0,"3",0,"7.775","S","Homme","Homme"
"1258","id953","Mr",22,0,0,"3",0,"7.775","S","Homme","Homme"
"1259","id954","Mr",22,0,0,"3",1,"7.225","C","Homme","Homme"
"1265","id96","Mrs",54,1,1,"1",1,"81.8583","S","Femme","Femme"
"1266","id960","Mr",32,0,0,"3",0,"7.925","S","Homme","Homme"
"1267","id961","Mr",34.5,0,0,"3",0,"6.4375","C","Homme","Homme"
"1270","id964","Mr",36,0,0,"3",0,"0","S","Homme","Homme"
"1271","id965","Mr",39,0,0,"3",0,"24.15","S","Homme","Homme"
"1272","id966","Mr",24,0,0,"3",0,"9.5","S","Homme","Homme"
"1273","id967","Miss",25,0,0,"3",0,"7.775","S","Femme","Femme"
"1274","id968","Miss",45,0,0,"3",0,"7.75","S","Femme","Femme"
"1275","id969","Mr",36,1,0,"3",0,"15.55","S","Homme","Homme"
"1276","id97","Dona",50,1,0,"1",0,"106.425","C","Femme","Femme"
"1277","id970","Mrs",30,1,0,"3",0,"15.55","S","Femme","Femme"
"1278","id971","Mr",20,1,0,"3",1,"7.925","S","Homme","Homme"
"1280","id973","Mr",28,0,0,"3",0,"56.4958","S","Homme","Homme"
"1282","id975","Mr",30,1,0,"3",0,"16.1","S","Homme","Homme"
"1283","id976","Mrs",26,1,0,"3",0,"16.1","S","Femme","Femme"
"1285","id978","Mr",20.5,0,0,"3",0,"7.25","S","Homme","Homme"
"1286","id979","Mr",27,0,0,"3",1,"8.6625","S","Homme","Homme"
"1287","id98","Mrs",27,1,1,"1",1,"247.5208","C","Femme","Femme"
"1288","id980","Mr",51,0,0,"3",0,"7.0542","S","Homme","Homme"
"1289","id981","Miss",23,0,0,"3",1,"7.8542","S","Femme","Femme"
"1290","id982","Mr",32,0,0,"3",1,"7.5792","S","Homme","Homme"
"1294","id986","Mr",24,0,0,"3",1,"7.1417","S","Homme","Homme"
"1295","id987","Mr",22,0,0,"3",0,"7.125","S","Homme","Homme"
"1298","id99","Dona",48,1,0,"1",1,"106.425","C","Femme","Femme"
"1300","id991","Mr",29,0,0,"3",0,"7.925","S","Homme","Homme"
"1302","id993","Miss",30.5,0,0,"3",0,"7.75","Q","Femme","Femme"
"1305","id996","Mr",35,0,0,"3",0,"7.8958","C","Homme","Homme"
"1306","id997","Mr",33,0,0,"3",0,"7.8958","S","Homme","Homme"
